5_2:

Nabrzeze	Nazwa_statku	Ladownosc
ALMEX	LEOPARD	274
ANGIELSKIE	BBC LAGOS	7138
ANGIELSKIE	BBC LIVORNO	7138
ANGIELSKIE	BBC LONDON	7138
ARSENAL	KASZUBY	24109
ARSENAL	KOSZALIN	24109
ARSENAL	KUJAWY	24109
ARSENAL	KURPIE	24109
ARSENAL	MAZURY	24109
ARSENAL	PODLASIE	24109
ARSENAL	ROZTOCZE	24109
BELGIJSKIE	BBC BIRTE H	11494
BRAK	BALTIVIA	17790
BULGARSKIE	WAWEL	25318
BULWAR CHROBREGO	BRAEMAR	24344
BYDGOSKIE	AERANDIR	2545
BYDGOSKIE	AVALON	2545
BYDGOSKIE	BEAUMAIDEN	2545
BYDGOSKIE	BEAUMARE	2545
BYDGOSKIE	BEAUMONDE	2545
BYDGOSKIE	CAROLIN G	2545
BYDGOSKIE	EEMS DART	2545
BYDGOSKIE	EEMS DOLLARD	2545
BYDGOSKIE	EEMS EXE	2545
BYDGOSKIE	GEERT K	2545
BYDGOSKIE	HANNA	2545
BYDGOSKIE	HATHOR	2545
BYDGOSKIE	HELAS	2545
BYDGOSKIE	INDI	2545
BYDGOSKIE	JOHN FRIEDRICH K	2545
BYDGOSKIE	JUERGEN K	2545
BYDGOSKIE	MARAS	2545
BYDGOSKIE	MILADY	2545
BYDGOSKIE	NATALY	2545
BYDGOSKIE	RICHELIEU	2545
BYDGOSKIE	ROSI	2545
BYDGOSKIE	ROVA STONES	2545
BYDGOSKIE	TUCANA	2545
BYDGOSKIE	VEDETTE	2545
BYDGOSKIE	VENTURA	2545
BYDGOSKIE	WILSON DALVIK	2545
BYDGOSKIE	WILSON DUNKIRK	2545
BYDGOSKIE	YVONNE K.	2545
BYTOMSKIE	ODELMAR	24184
BYTOMSKIE USKOK	TEST24_03_17	39727
CAL	EEMS DELTA	999
CAL	PALICA	999
CEMENTOWE	GREENLAND	4284
CHORZOWSKIE	DORIC SHOGUN	35823
CICHE	HALICZ	694
CPN III	ECO DREAM	5452
CPN III	ECO GREEN	5452
CZESKIE	MORNING CHERRY	59525
DOK 1	SILVER LAKE	3538
DOK 1	SILVER RIVER	3538
DOK 3	BORKUM	4591
DOK 3	COPENHAGEN	4591
DOK 3	LANGEOOG	4591
DOK 3	NORDERNEY	4591
DOK 3	SPIEKEROOG	4591
DOK 5	NILEDUTCH LUANDA	34642
DRZETOWSKIE N	CAP BEATRICE	26833
DRZETOWSKIE S	GARDNO	22982
DRZETOWSKIE S	JAMNO	22982
FANT	EEMS CARRIER	1546
FARBOLAK SWFIL	GOLFSTRAUM	7243
FARBOLAK SWFIL	RYSTRAUM	7243
FINSKIE	MORNING CELESTA	57542
FOSFATOWE	ALINE	4102
FOSFATOWE	BJOERKOE	4102
FOSFATOWE	BJOERNOE	4102
FOSFATOWE	BOCKOE	4102
FOSFATOWE	BOSPORUSDIEP	4102
FOSFATOWE	EMSRUNNER	4102
FOSFATOWE	KERSTI	4102
FOSFATOWE	PAULA ANNA	4102
FOSFATOWE	PAULA VINDO	4102
FOSFATOWE	TIWALA	4102
FOSFATOWE DALBY	BESIKTAS ICELAND	5366
GDANSKIE	MAZOVIA	29940
GDYNSKIE N	POLONIA	29875
GDYNSKIE S	FREE STATE	32379
GDYNSKIE S	GENCO HUNTER	32379
GDYNSKIE S	NORD EXPLORER	32379
GLIWICKIE	APAGEON	30012
GNIEZNIENSKIE	KASZUBY	24109
GNIEZNIENSKIE	KOSZALIN	24109
GNIEZNIENSKIE	KUJAWY	24109
GNIEZNIENSKIE	KURPIE	24109
GNIEZNIENSKIE	MAZURY	24109
GNIEZNIENSKIE	PODLASIE	24109
GNIEZNIENSKIE NIENSKIE	ROZTOCZE	24109
GORNOSLASKIE	ROSINA TOPIC	26216
GRECKIE	BBC LAGOS	7138
GRECKIE	BBC LIVORNO	7138
GRECKIE	BBC LONDON	7138
HOLENDERSKIE	AMBASSADEUR	3990
HOLENDERSKIE	AMISIA	3990
HOLENDERSKIE	BELTERWIEDE	3990
HOLENDERSKIE	CATHMA	3990
HOLENDERSKIE	CATHY JO	3990
HOLENDERSKIE	DAGNA	3990
HOLENDERSKIE	DELFBORG	3990
HOLENDERSKIE	DOGGERSBANK	3990
HOLENDERSKIE	DROGDENBANK	3990
HOLENDERSKIE	EEMSHORN	3990
HOLENDERSKIE	IMKE	3990
HOLENDERSKIE	ISIS	3990
HOLENDERSKIE	JEANETTE	3990
HOLENDERSKIE	MAASBORG	3990
